"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Siemens Digital Industry - Sr. Executive Account Manager (Food,Beverage & CPG Vertical Market)"," Siemens PLC  ","TX","Plano","$62k-$102k","Plano, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=812&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2411c4da&cb=1542669780744&jobListingId=2930249529"," 16 days ago"
"Sales Manager Water Solutions - TX-WI"," Siemens PLC  ","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=813&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7c19ab39&cb=1542669780745&jobListingId=3001545681"," 26 days ago"
"Senior Performance Assurance Specialist - Measurement & Verification - Building Performance & Sustainability - Major US"," Siemens PLC  ","TX","Irving","","Irving, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=814&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_16eda0ba&cb=1542669780747&jobListingId=2843503307"," 19 days ago"
"Full Stack Developer for Digital Lab"," Siemens PLC  ","TX","Austin","$85k-$114k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=815&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_658f2074&cb=1542669780806&jobListingId=3001545677"," 26 days ago"
"SCRUM Master for Digital Lab"," Siemens PLC  ","TX","Austin","$108k-$198k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=816&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_52461d8a&cb=1542669780808&jobListingId=3011254600"," 17 days ago"
"Quality Incoming Material Inspector -TX"," Siemens PLC  ","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=817&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_948c73a4&cb=1542669780810&jobListingId=2981817238"," 13 days ago"
"Zone Controller - Building Technologies"," Siemens PLC  ","TX","Irving","","Irving, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=818&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_42580e9a&cb=1542669780812&jobListingId=2989435415"," 10 days ago"
"Software Engineer - Advanced - Licensing & Security"," Siemens PLC  ","TX","Austin","$74k-$121k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=819&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1ad29653&cb=1542669780814&jobListingId=3008166417"," 19 days ago"
"Account Manager - HVAC OEM Channel - Building Technologies - Major Midwest"," Siemens PLC  ","TX","Irving","","Irving, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=820&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d3af036e&cb=1542669780816&jobListingId=2963711037"," 25 days ago"
"Process Automation- Digital Enterprise Portfolio Sales Professional (Industrial)-TX-GA-PA"," Siemens PLC  ","TX","Arlington","","Arlington, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=821&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5b30ae86&cb=1542669780818&jobListingId=2916788414"," 24 days ago"
"Senior Cloud Software Engineer"," Siemens PLC  ","TX","Plano","$80k-$131k","Plano, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=822&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_dbc21e2f&cb=1542669780820&jobListingId=2933430309"," 14 days ago"
"NX CAM Training Instructor - Learning Architect PLM - Detroit, Chicago, Cincinnati, Cypress, St. Louis, Orlando, or"," Siemens PLC  ","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=823&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_115f17c1&cb=1542669780822&jobListingId=2989435455"," 10 days ago"
"Software Engineer Advanced-Volume Meshing"," Siemens PLC  ","TX","Austin","$74k-$121k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=824&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e540f356&cb=1542669780824&jobListingId=2844138192"," 18 days ago"
"Electrical Engineer (Gas Turbine Design/Rotating Equipment)"," Siemens PLC  ","TX","Houston","$68k-$109k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=825&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_73e6c6cd&cb=1542669780826&jobListingId=2987929531"," 11 days ago"
"Fire Alarm Sales Estimator-Houston TX"," Siemens PLC  ","TX","Houston","$40k-$62k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=826&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ce8a5dea&cb=1542669780829&jobListingId=2959853110"," 28 days ago"
"Fire Alarm Inspector I"," Siemens PLC  ","TX","Irving","","Irving, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=827&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5f07c4ed&cb=1542669780831&jobListingId=3000602297"," 27 days ago"
"Product Architect - Teamcenter - Major City in Central U.S."," Siemens PLC  ","TX","Fort Worth","","Fort Worth, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=828&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_603ecf1f&cb=1542669780832&jobListingId=2915313919"," 26 days ago"
"Electrical Estimator - Building Automation, Fire Alarm, and Security Systems - Building Technologies - Dallas, TX"," Siemens PLC  ","TX","Irving","","Irving, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=829&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_841c4fb1&cb=1542669780833&jobListingId=3009351398"," 18 days ago"
