"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Technical Project Lead Intelligent Infrastructure / Automated Drivin"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=324&ao=182894&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3ea6fd28&cb=1542669764292&jobListingId=3024662509"," 11 days ago"
"Powertrain Software Controls Engineer"," Continental Corporation  ","MI","Auburn Hills","$58k-$79k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=325&ao=189299&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b3166e69&cb=1542669764293&jobListingId=3024611623"," 14 days ago"
"Business Modeler"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=326&ao=182894&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_cea0b7ed&cb=1542669764295&jobListingId=3025409397"," 10 days ago"
"Software Integration Engineer"," Continental Corporation  ","MI","Auburn Hills","$60k-$89k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=327&ao=173354&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_517d4e75&cb=1542669764296&jobListingId=3016001431"," 13 days ago"
"Software Technical Project Leader"," Continental Corporation  ","MI","Troy","$53k-$82k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=328&ao=182894&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f1ba2548&cb=1542669764297&jobListingId=3024925807"," 11 days ago"
"Application Center Manager - Thermal Management Actuators (TMA)"," Continental Corporation  ","MI","Auburn Hills","$40k-$64k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=329&ao=283198&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ca8bc482&cb=1542669764299&jobListingId=3025740926"," 13 days ago"
"SAP Key User - Warehouse/Distribution Modules"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=330&ao=189299&s=58&guid=000001672e4885d282aa4fb33ede10d0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c4d6c880&cb=1542669764300&jobListingId=3024619696"," 14 days ago"
"Automotive Technician / Mechanic"," Bridgestone Americas, Inc.  ","MI","Kalamazoo","","Kalamazoo, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=401&ao=431778&s=149&guid=000001672e4888d78c6f98c394c80c08&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e1dd56c2&cb=1542669764947&jobListingId=3024834835"," 5 days ago"
"Automotive Lead Master Technician / Mechanic"," Bridgestone Americas, Inc.  ","MI","Grand Rapids","","Grand Rapids, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=402&ao=431778&s=149&guid=000001672e4888d78c6f98c394c80c08&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b6050a51&cb=1542669764948&jobListingId=2790081002"," 11 days ago"
"Lean Manufacturing Engineer (Continental Business Systems Coach)"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=401&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_92598750&cb=1542669764949&jobListingId=3024692266"," 22 days ago"
